tech company,employer provided healthcare with mental benefits,employer provided mental healthcare awareness,current mental health disorder,mental health diagnosis,family history of mental illness,discussed personal mental health with employer,anonymity protected when using benefits,ease of asking for leave,comfortable discussing a mental health issue with direct supervisor(s),comfortable discussing a mental health issue with coworkers,Number of employees,how well do you think the tech industry supports employees with mental health issues,observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace,Age,Gender,Country of residence,Race,year
,,,Possibly,,I don't know,,,,,,,2.0,Maybe/Not sure,No,45.0,Male,United States of America,White,2017
1.0,Yes,Yes,No,,No,0.0,Yes,Very easy,Maybe,Yes,100-500,2.0,No,"Yes, I observed",37.0,M,United Kingdom,,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Very easy,Yes,Yes,26-100,4.0,No,"Yes, I experienced",30.0,Female,United Kingdom,,2017
0.0,I don't know,No,No,,No,0.0,I don't know,Somewhat easy,Yes,Yes,100-500,3.0,No,Maybe/Not sure,25.0,Male,United Kingdom,,2017
1.0,No,,Yes,No,Yes,0.0,Yes,Very easy,Maybe,No,26-100,3.0,"Yes, I observed","Yes, I observed",25.0,Female,United Kingdom,,2017
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I observed",Maybe/Not sure,54.0,Female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,Neither easy nor difficult,Yes,Maybe,500-1000,3.0,No,No,61.0,Male,United Kingdom,,2017
1.0,No,No,No,,No,0.0,I don't know,I don't know,Maybe,No,More than 1000,3.0,No,No,26.0,male,India,,2017
0.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Neither easy nor difficult,No,Yes,More than 1000,2.0,"Yes, I experienced","Yes, I experienced",44.0,Female,United States of America,White,2017
1.0,No,No,Yes,Yes,I don't know,0.0,I don't know,I don't know,Yes,No,6-25,2.0,Maybe/Not sure,Maybe/Not sure,26.0,male,Portugal,,2017
1.0,Yes,No,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Maybe,26-100,3.0,"Yes, I experienced","Yes, I observed",26.0,Female,Portugal,,2017
1.0,I don't know,No,No,,I don't know,0.0,Yes,Neither easy nor difficult,Yes,Maybe,6-25,4.0,No,Maybe/Not sure,35.0,female,United States of America,White,2017
1.0,Yes,Yes,No,,No,0.0,I don't know,Very easy,Maybe,Maybe,26-100,1.0,Maybe/Not sure,"Yes, I experienced",45.0,Male,United States of America,White,2017
1.0,I don't know,No,No,,I don't know,0.0,I don't know,Somewhat easy,Yes,Yes,26-100,3.0,No,No,23.0,Male,United States of America,White,2017
0.0,Yes,Yes,Don't Know,,No,0.0,I don't know,Somewhat easy,Yes,Maybe,More than 1000,3.0,No,No,44.0,Male,United States of America,White,2017
0.0,Yes,No,Possibly,,I don't know,0.0,Yes,Neither easy nor difficult,Yes,Maybe,More than 1000,3.0,"Yes, I observed","Yes, I observed",38.0,male,United States of America,White,2017
0.0,Yes,Yes,No,,Yes,1.0,Yes,Somewhat easy,Yes,Yes,500-1000,2.0,Maybe/Not sure,"Yes, I observed",46.0,Male,United States of America,White,2017
0.0,Yes,No,Yes,Yes,I don't know,1.0,I don't know,Somewhat difficult,Maybe,No,500-1000,2.0,Maybe/Not sure,Maybe/Not sure,27.0,Nonbinary,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Difficult,Maybe,Maybe,100-500,2.0,"Yes, I observed","Yes, I observed",39.0,female,United States of America,I prefer not to answer,2017
1.0,I don't know,No,Possibly,,Yes,0.0,I don't know,I don't know,No,No,26-100,1.0,"Yes, I experienced",No,33.0,Female ,United States of America,White,2017
,,,Yes,Yes,Yes,,,,,,,1.0,No,No,38.0,female,United States of America,,2017
0.0,Not eligible for coverage / NA,,No,,No,0.0,I don't know,Difficult,No,No,26-100,1.0,Maybe/Not sure,Maybe/Not sure,35.0,Male,United Kingdom,,2017
1.0,No,No,Yes,Yes,No,1.0,I don't know,Neither easy nor difficult,No,Maybe,More than 1000,3.0,"Yes, I experienced",No,32.0,male,Czech Republic,,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,I don't know,Somewhat easy,No,No,More than 1000,2.0,"Yes, I observed","Yes, I observed",26.0,Female,United States of America,Asian,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat difficult,Maybe,Maybe,100-500,2.0,"Yes, I observed",No,50.0,cis-male,United States of America,,2017
1.0,I don't know,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,Yes,Yes,100-500,4.0,No,"Yes, I experienced",31.0,Male,United States of America,White,2017
1.0,I don't know,No,Don't Know,,Yes,0.0,I don't know,Somewhat difficult,Maybe,Maybe,More than 1000,2.0,No,No,46.0,Male,Romania,,2017
1.0,Yes,No,Yes,Yes,Yes,0.0,Yes,Somewhat easy,No,Maybe,26-100,2.0,No,"Yes, I experienced",30.0,Male,United States of America,White,2017
1.0,Yes,No,Yes,Yes,I don't know,0.0,I don't know,Somewhat difficult,Maybe,Maybe,More than 1000,2.0,No,"Yes, I observed",30.0,Mail,United States of America,White,2017
1.0,No,No,Yes,Yes,No,1.0,I don't know,Neither easy nor difficult,Yes,Maybe,100-500,3.0,"Yes, I observed","Yes, I observed",34.0,male,Germany,,2017
0.0,Yes,Yes,No,,No,0.0,Yes,Difficult,No,No,More than 1000,1.0,Maybe/Not sure,Maybe/Not sure,42.0,Male,United Kingdom,,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,No,Somewhat difficult,Maybe,Maybe,More than 1000,3.0,"Yes, I experienced","Yes, I experienced",24.0,Female,United States of America,White,2017
,,,Yes,Yes,Yes,,,,,,,2.0,"Yes, I experienced","Yes, I experienced",30.0,Male,United States of America,White,2017
1.0,Yes,Yes,Don't Know,,I don't know,1.0,I don't know,Somewhat easy,Maybe,Yes,26-100,4.0,No,No,23.0,Male,Canada,,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,No,No,100-500,2.0,No,Maybe/Not sure,31.0,female,United States of America,White,2017
1.0,No,No,Possibly,,I don't know,0.0,I don't know,I don't know,No,Maybe,26-100,3.0,Maybe/Not sure,Maybe/Not sure,31.0,male,Finland,,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Maybe,Yes,100-500,2.0,"Yes, I experienced","Yes, I observed",27.0,Woman,United States of America,White,2017
,,,No,,No,,,,,,,1.0,No,No,26.0,Male,Pakistan,,2017
0.0,Yes,Yes,No,,Yes,0.0,I don't know,Somewhat difficult,Maybe,No,500-1000,2.0,"Yes, I observed",No,52.0,Female,United States of America,White,2017
,,,Don't Know,,No,,,,,,,2.0,Maybe/Not sure,No,28.0,Male,Belgium,,2017
1.0,No,No,Possibly,,I don't know,0.0,I don't know,I don't know,No,No,1-5,2.0,"Yes, I observed",No,37.0,male,United States of America,White,2017
0.0,No,,No,,No,0.0,No,Somewhat easy,Maybe,Maybe,500-1000,3.0,No,No,37.0,male,Canada,,2017
0.0,Yes,Yes,Yes,Yes,Yes,0.0,Yes,Very easy,Yes,Yes,More than 1000,2.0,No,"Yes, I experienced",38.0,Male,United States of America,White,2017
,,,Yes,Yes,Yes,,,,,,,2.0,No,No,57.0,Female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Maybe,More than 1000,4.0,Maybe/Not sure,"Yes, I experienced",34.0,Male,United States of America,White,2017
1.0,Yes,Yes,No,,Yes,0.0,I don't know,Difficult,No,No,More than 1000,1.0,"Yes, I observed",No,38.0,female,Germany,,2017
1.0,I don't know,No,Possibly,,I don't know,0.0,Yes,Neither easy nor difficult,Maybe,Maybe,26-100,2.0,"Yes, I observed",No,30.0,Male,United States of America,White,2017
0.0,Yes,Yes,Possibly,,No,0.0,Yes,Somewhat easy,No,No,More than 1000,2.0,No,No,52.0,Male,United States of America,,2017
,,,Yes,Yes,No,,,,,,,3.0,No,No,31.0,Female,United States of America,White,2017
,,,No,,I don't know,,,,,,,2.0,"Yes, I observed","Yes, I experienced",29.0,Male,Germany,,2017
1.0,I don't know,No,Don't Know,,Yes,0.0,I don't know,Difficult,No,No,6-25,2.0,No,No,26.0,Female,United Kingdom,,2017
0.0,Yes,No,Yes,Yes,I don't know,0.0,Yes,Somewhat difficult,Yes,No,26-100,4.0,Maybe/Not sure,Maybe/Not sure,29.0,female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,I don't know,Yes,Maybe,More than 1000,2.0,"Yes, I experienced","Yes, I experienced",44.0,Male,United States of America,White,2017
,,,Possibly,,I don't know,,,,,,,2.0,I've always been self-employed,I've always been self-employed,18.0,male/androgynous ,Canada,,2017
1.0,Not eligible for coverage / NA,,Yes,Yes,Yes,1.0,Yes,Very easy,Yes,Yes,More than 1000,1.0,"Yes, I observed","Yes, I experienced",42.0,Male,Australia,,2017
0.0,Yes,Yes,Possibly,,Yes,0.0,Yes,Somewhat easy,No,No,6-25,3.0,Maybe/Not sure,"Yes, I experienced",30.0,Male,United States of America,White,2017
1.0,Yes,No,Yes,Yes,I don't know,1.0,I don't know,Very easy,Yes,Yes,100-500,2.0,No,Maybe/Not sure,29.0,M,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Neither easy nor difficult,Yes,Maybe,More than 1000,3.0,No,"Yes, I experienced",27.0,Female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Maybe,Maybe,More than 1000,3.0,"Yes, I experienced","Yes, I observed",39.0,Male,United States of America,White,2017
1.0,Yes,Yes,No,,Yes,1.0,Yes,Very easy,Yes,No,100-500,2.0,"Yes, I observed","Yes, I observed",40.0,female,United States of America,,2017
1.0,Yes,Yes,Possibly,,Yes,0.0,Yes,I don't know,Maybe,Maybe,More than 1000,4.0,Maybe/Not sure,"Yes, I experienced",36.0,female,United States of America,Asian,2017
,,,Don't Know,,No,,,,,,,3.0,I've always been self-employed,No,48.0,female,United States of America,White,2017
1.0,Yes,Yes,Don't Know,,No,0.0,Yes,Somewhat easy,Yes,Maybe,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",43.0,male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Neither easy nor difficult,Maybe,Maybe,100-500,2.0,Maybe/Not sure,Maybe/Not sure,38.0,Man,United States of America,White,2017
1.0,I don't know,No,No,,I don't know,0.0,I don't know,Somewhat easy,Yes,Yes,26-100,3.0,No,No,42.0,Male,United States of America,White,2017
1.0,No,,Yes,Yes,I don't know,1.0,Yes,Neither easy nor difficult,Maybe,Yes,500-1000,1.0,"Yes, I experienced",Maybe/Not sure,46.0,Male,United Kingdom,,2017
0.0,Yes,Yes,Yes,No,Yes,0.0,Yes,Difficult,No,Yes,More than 1000,3.0,"Yes, I observed","Yes, I observed",30.0,male,United States of America,White,2017
0.0,No,Yes,Yes,Yes,Yes,0.0,No,Difficult,No,Yes,6-25,3.0,"Yes, I observed",No,25.0,Male,United Kingdom,,2017
1.0,Yes,Yes,Don't Know,,Yes,0.0,Yes,Very easy,Maybe,Maybe,500-1000,3.0,Maybe/Not sure,"Yes, I observed",28.0,,Canada,,2017
1.0,Yes,Yes,Possibly,,Yes,0.0,I don't know,Neither easy nor difficult,Maybe,Yes,100-500,2.0,"Yes, I observed","Yes, I observed",24.0,Female,Germany,,2017
1.0,I don't know,No,No,,Yes,0.0,I don't know,Difficult,Yes,No,1-5,4.0,No,No,26.0,male,United Kingdom,,2017
1.0,Yes,Yes,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,Maybe,Maybe,More than 1000,2.0,"Yes, I experienced","Yes, I experienced",43.0,cis hetero male,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,I don't know,0.0,I don't know,I don't know,No,No,More than 1000,2.0,No,"Yes, I experienced",25.0,Female,United States of America,I prefer not to answer,2017
0.0,Yes,No,Yes,Yes,Yes,0.0,I don't know,I don't know,No,No,More than 1000,3.0,No,No,34.0,male,United States of America,White,2017
1.0,Yes,Yes,No,,No,0.0,Yes,Very easy,No,Yes,26-100,3.0,Maybe/Not sure,Maybe/Not sure,28.0,female,United States of America,Asian,2017
1.0,No,,Yes,Yes,I don't know,1.0,Yes,Somewhat difficult,Yes,Maybe,26-100,3.0,"Yes, I experienced",Maybe/Not sure,27.0,Male,South Africa,,2017
1.0,No,No,Don't Know,,No,0.0,Yes,Somewhat easy,Maybe,Yes,26-100,3.0,Maybe/Not sure,"Yes, I experienced",22.0,Male,India,,2017
1.0,I don't know,No,No,,Yes,0.0,Yes,Very easy,No,Yes,26-100,5.0,No,No,24.0,female,Romania,,2017
,,,Yes,No,No,,,,,,,1.0,No,No,33.0,female,Pakistan,,2017
,,,Possibly,,No,,,,,,,2.0,"Yes, I experienced","Yes, I experienced",41.0,m,Germany,,2017
1.0,No,,Possibly,,I don't know,0.0,I don't know,I don't know,No,No,26-100,2.0,"Yes, I observed",I've always been self-employed,26.0,Female,United Kingdom,,2017
,,,Yes,Yes,I don't know,,,,,,,1.0,"Yes, I experienced","Yes, I experienced",39.0,Male,United States of America,White,2017
1.0,I don't know,No,Possibly,,No,1.0,I don't know,Somewhat easy,Maybe,Maybe,1-5,3.0,Maybe/Not sure,"Yes, I experienced",24.0,male,United States of America,White,2017
1.0,I don't know,No,Yes,Yes,I don't know,1.0,I don't know,I don't know,No,Yes,More than 1000,2.0,"Yes, I experienced",Maybe/Not sure,54.0,Male,United States of America,White,2017
0.0,Yes,Yes,Yes,Yes,Yes,1.0,I don't know,Somewhat easy,Yes,Yes,More than 1000,2.0,"Yes, I observed","Yes, I experienced",47.0,m,United States of America,White,2017
1.0,No,,No,,No,1.0,I don't know,Very easy,Yes,Yes,More than 1000,3.0,No,"Yes, I experienced",33.0,Male,Sweden,,2017
1.0,Yes,Yes,Yes,Yes,Yes,1.0,Yes,Somewhat easy,Yes,Yes,100-500,2.0,No,"Yes, I experienced",30.0,,United States of America,White,2017
0.0,Yes,Yes,Possibly,,I don't know,0.0,I don't know,I don't know,No,Maybe,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",48.0,Male,United States of America,White,2017
1.0,I don't know,No,Possibly,,Yes,1.0,Yes,Somewhat easy,Yes,Yes,More than 1000,3.0,No,No,35.0,male,United States of America,White,2017
0.0,I don't know,No,No,,I don't know,0.0,I don't know,Somewhat easy,Yes,Yes,26-100,2.0,"Yes, I observed",Maybe/Not sure,34.0,Male,United States of America,White,2017
,,,No,,No,,,,,,,2.0,No,No,31.0,Male,Serbia,,2017
1.0,Yes,Yes,Possibly,,Yes,0.0,Yes,Somewhat easy,Maybe,Maybe,500-1000,3.0,Maybe/Not sure,"Yes, I observed",25.0,male,United States of America,White,2017
1.0,No,No,Yes,Yes,Yes,0.0,I don't know,Somewhat easy,No,Maybe,More than 1000,2.0,Maybe/Not sure,Maybe/Not sure,48.0,male,Spain,,2017
0.0,Yes,No,Yes,Yes,I don't know,0.0,I don't know,I don't know,Maybe,No,100-500,3.0,Maybe/Not sure,Maybe/Not sure,34.0,Male,United States of America,White,2017
1.0,Yes,Yes,No,,Yes,0.0,I don't know,Difficult,No,No,100-500,1.0,"Yes, I observed",No,42.0,M,United States of America,White,2017
1.0,I don't know,No,Yes,Yes,Yes,0.0,I don't know,Very easy,Maybe,Yes,100-500,2.0,No,"Yes, I observed",27.0,Male,United States of America,White,2017
1.0,Yes,Yes,Possibly,,Yes,1.0,Yes,Somewhat difficult,Yes,Maybe,More than 1000,3.0,No,No,33.0,Female,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,0.0,I don't know,Very easy,Maybe,Yes,26-100,3.0,"Yes, I observed",No,27.0,Female,United States of America,Black or African American,2017
1.0,Yes,No,Possibly,,I don't know,0.0,I don't know,I don't know,No,Yes,500-1000,1.0,Maybe/Not sure,Maybe/Not sure,48.0,m,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,1.0,Yes,Somewhat easy,Maybe,Maybe,More than 1000,2.0,Maybe/Not sure,"Yes, I experienced",32.0,f,United States of America,White,2017
1.0,Yes,No,Yes,Yes,Yes,1.0,I don't know,Somewhat difficult,Maybe,Yes,100-500,2.0,Maybe/Not sure,"Yes, I observed",29.0,Male,United States of America,White,2017
,,,Yes,No,Yes,,,,,,,2.0,Maybe/Not sure,Maybe/Not sure,36.0,Female,United States of America,Asian,2017
,,,Yes,Yes,I don't know,,,,,,,2.0,Maybe/Not sure,No,29.0,Female,United Kingdom,,2017
1.0,I don't know,No,Possibly,,No,0.0,I don't know,Neither easy nor difficult,Yes,Maybe,100-500,4.0,Maybe/Not sure,Maybe/Not sure,23.0,female,Canada,,2017
0.0,Yes,No,Possibly,,I don't know,0.0,Yes,Somewhat difficult,Maybe,No,More than 1000,3.0,"Yes, I observed","Yes, I observed",50.0,Female,United States of America,White,2017
,,,No,,No,,,,,,,1.0,Maybe/Not sure,"Yes, I experienced",24.0,female,Jordan,,2017
1.0,No,No,No,,No,0.0,I don't know,I don't know,No,No,6-25,3.0,No,Maybe/Not sure,29.0,Female,Hungary,,2017
0.0,Yes,No,Possibly,,Yes,0.0,I don't know,Very easy,Maybe,Maybe,More than 1000,3.0,Maybe/Not sure,"Yes, I observed",42.0,female,United States of America,White,2017
,,,Possibly,,No,,,,,,,3.0,No,"Yes, I experienced",35.0,Male,Australia,,2017
1.0,I don't know,No,Don't Know,,I don't know,0.0,I don't know,Very easy,Maybe,Maybe,100-500,3.0,No,No,22.0,Male,United States of America,White,2017
1.0,Yes,Yes,Yes,Yes,I don't know,0.0,I don't know,Somewhat easy,Yes,Yes,500-1000,3.0,Maybe/Not sure,"Yes, I observed",39.0,Female,United States of America,White,2017
1.0,Yes,No,Possibly,,Yes,0.0,I don't know,Somewhat difficult,Yes,Yes,6-25,2.0,"Yes, I observed",Maybe/Not sure,29.0,femalw,Canada,,2017
,,,No,,No,,,,,,,5.0,No,I've always been self-employed,20.0,Male,India,,2017
0.0,Not eligible for coverage / NA,,Yes,Yes,Yes,0.0,I don't know,I don't know,Maybe,Maybe,1-5,3.0,No,No,36.0,female,United Kingdom,,2017
